
Symbol table '.dynsym' contains 27118 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
     0: 0000000000000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000000004db000     0 SECTION LOCAL  DEFAULT   10 .text
     2: 000000000111c0b0     0 SECTION LOCAL  DEFAULT   17 .data.rel.ro
     3: 000000000083f924   196 FUNC    GLOBAL DEFAULT   10 _ZN20CustomizeOb[...]
     4: 00000000005ecb9c   464 FUNC    GLOBAL DEFAULT   10 _ZN11GameManager[...]
     5: 0000000000e62330  1972 FUNC    GLOBAL DEFAULT   10 PKCS5_PBKDF2_HMAC
     6: 0000000000981848    28 FUNC    GLOBAL DEFAULT   10 _ZN20GJMultiplay[...]
     7: 0000000000e63618   108 FUNC    GLOBAL DEFAULT   10 OCSP_REQ_CTX_http
     8: 0000000000588f54   256 FUNC    GLOBAL DEFAULT   10 _ZN13LoadingCirc[...]
     9: 0000000000af1104    52 FUNC    WEAK   DEFAULT   10 _ZN7cocos2d28CCT[...]
    10: 0000000000864370   196 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
    11: 000000000088b248   288 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
    12: 0000000000dfd7d0    12 FUNC    GLOBAL DEFAULT   10 OTHERNAME_free
    13: 00000000008c25c0     4 FUNC    GLOBAL DEFAULT   10 _ZN17EditTrigger[...]
    14: 000000000056ee48     8 FUNC    WEAK   DEFAULT   10 _ZThn344_N7cocos[...]
    15: 0000000000dad960   272 FUNC    GLOBAL DEFAULT   10 EVP_PKEY_paramgen
    16: 00000000008f6328     8 FUNC    GLOBAL DEFAULT   10 _ZThn656_N19FReq[...]
    17: 0000000000000000     0 FUNC    GLOBAL DEFAULT  UND pthread[...]@LIBC (2)
    18: 0000000000ad6c28    76 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCD[...]
    19: 0000000000a71fb8     4 FUNC    WEAK   DEFAULT   10 _ZN23LevelListDe[...]
    20: 0000000000aca034     8 FUNC    GLOBAL DEFAULT   10 _ZThn344_N7cocos[...]
    21: 000000000091fe68     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N20GJFo[...]
    22: 0000000000d90eb0    76 FUNC    GLOBAL DEFAULT   10 EC_KEY_METHOD_ge[...]
    23: 00000000011abf90    88 OBJECT  WEAK   DEFAULT   17 _ZTI19GauntletSe[...]
    24: 0000000000615afc   124 FUNC    GLOBAL DEFAULT   10 _ZN15CustomMusic[...]
    25: 000000000093fe68     8 FUNC    GLOBAL DEFAULT   10 _ZThn408_N12Secr[...]
    26: 0000000001190200  1872 OBJECT  WEAK   DEFAULT   17 _ZTV15GJBaseGameLayer
    27: 0000000000ad57bc    12 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d21CCD[...]
    28: 0000000000dce0d0   472 FUNC    GLOBAL DEFAULT   10 PKCS7_dataVerify
    29: 00000000006f5058  1076 FUNC    GLOBAL DEFAULT   10 _ZN16GameLevelMa[...]
    30: 0000000000608cf4     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N14Cust[...]
    31: 00000000004ed2d4     4 FUNC    GLOBAL DEFAULT   10 _ZN15PlatformToo[...]
    32: 00000000009742a8   168 FUNC    GLOBAL DEFAULT   10 _ZN15SetGroupIDL[...]
    33: 00000000009ed6cc    56 FUNC    GLOBAL DEFAULT   10 _ZN17SetupTrigge[...]
    34: 00000000005b52b0    68 FUNC    GLOBAL DEFAULT   10 _ZN15FMODAudioEn[...]
    35: 0000000000ad292c    40 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8CCOb[...]
    36: 00000000006468fc   176 FUNC    GLOBAL DEFAULT   10 _ZN10GameObject1[...]
    37: 0000000000b2e860     4 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d11CCC[...]
    38: 0000000000b67598   192 FUNC    WEAK   DEFAULT   10 _ZN3fmt8internal[...]
    39: 0000000000c33cf8   264 FUNC    GLOBAL DEFAULT   10 _TIFFSetupFields
    40: 0000000000d9d784     8 FUNC    GLOBAL DEFAULT   10 ENGINE_get_name
    41: 0000000000820e34     8 FUNC    GLOBAL DEFAULT   10 _ZThn976_N16GJRa[...]
    42: 000000000058dd94    20 FUNC    WEAK   DEFAULT   10 _ZN10PriceLabelD1Ev
    43: 00000000005d0aa4   124 FUNC    GLOBAL DEFAULT   10 _ZN9PlayLayer14i[...]
    44: 0000000000909130     8 FUNC    GLOBAL DEFAULT   10 _ZThn632_N19Coll[...]
    45: 0000000000579514     8 FUNC    GLOBAL DEFAULT   10 _ZN16CCScrollLay[...]
    46: 0000000000dc3d2c     8 FUNC    GLOBAL DEFAULT   10 OCSP_ONEREQ_dele[...]
    47: 00000000004ed23c     4 FUNC    GLOBAL DEFAULT   10 _ZN15PlatformToo[...]
    48: 00000000008e29e4    36 FUNC    GLOBAL DEFAULT   10 _ZN14GJSpiderSpr[...]
    49: 0000000000d9ebe0    56 FUNC    GLOBAL DEFAULT   10 ENGINE_register_DH
    50: 0000000000f18dc0    29 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d16C[...]
    51: 0000000000abaeb8   724 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9CCFl[...]
    52: 0000000000acad04     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N7cocos[...]
    53: 0000000000591e04    36 FUNC    GLOBAL DEFAULT   10 _ZN8TextAreaD0Ev
    54: 0000000000b2dfcc    36 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d6unzeofEPv
    55: 00000000007698c4     4 FUNC    GLOBAL DEFAULT   10 _ZN22TimerTrigge[...]
    56: 0000000000b5e0a8    20 FUNC    GLOBAL DEFAULT   10 _ZNK4pugi14xpath[...]
    57: 00000000008f473c     8 FUNC    GLOBAL DEFAULT   10 _ZThn640_N19FReq[...]
    58: 00000000004ed960     8 FUNC    GLOBAL DEFAULT   10 _ZN9AdToolbox11i[...]
    59: 0000000000a1f070   100 FUNC    GLOBAL DEFAULT   10 _ZN19SetupBGSpee[...]
    60: 0000000000a48bac   288 FUNC    GLOBAL DEFAULT   10 _Z13opKeyToStringi
    61: 00000000009e5390    76 FUNC    GLOBAL DEFAULT   10 _ZN17SetupTrigge[...]
    62: 00000000008c3324   484 FUNC    GLOBAL DEFAULT   10 _ZN16GameOptions[...]
    63: 00000000009692ac   112 FUNC    GLOBAL DEFAULT   10 _ZN24SetupCamera[...]
    64: 0000000000d719a8   244 FUNC    GLOBAL DEFAULT   10 BIO_ADDR_rawmake
    65: 0000000000771218   660 FUNC    GLOBAL DEFAULT   10 _ZN22SpawnTrigge[...]
    66: 0000000000dadbfc    16 FUNC    GLOBAL DEFAULT   10 evp_pkey_set_cb_[...]
    67: 0000000000579654   928 FUNC    GLOBAL DEFAULT   10 _ZN16CCScrollLay[...]
    68: 0000000000d9113c     8 FUNC    GLOBAL DEFAULT   10 EC_GROUP_get0_order
    69: 00000000008aad34   272 FUNC    GLOBAL DEFAULT   10 _ZN15GJEffectMan[...]
    70: 0000000000d677e8   220 FUNC    GLOBAL DEFAULT   10 ASN1_TIME_adj
    71: 0000000000b13918   208 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d16CCA[...]
    72: 000000000081d8d4    88 FUNC    GLOBAL DEFAULT   10 _ZN17Leaderboard[...]
    73: 00000000008c1efc    36 FUNC    GLOBAL DEFAULT   10 _ZN15SetColorIDP[...]
    74: 0000000000b241e0    40 FUNC    GLOBAL DEFAULT   10 _ZN8tinyxml27XML[...]
    75: 0000000000ad9828   108 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCD[...]
    76: 00000000007cc138    12 FUNC    GLOBAL DEFAULT   10 _ZN16MoreOptions[...]
    77: 0000000000da13d0   364 FUNC    GLOBAL DEFAULT   10 ERR_add_error_vdata
    78: 000000000086c1c4   836 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
    79: 000000000095a888   312 FUNC    GLOBAL DEFAULT   10 _ZN21SetupTouchT[...]
    80: 0000000000852568   128 FUNC    GLOBAL DEFAULT   10 _ZN16Keybindings[...]
    81: 0000000000b57bf4     4 FUNC    GLOBAL DEFAULT   10 _ZNK4pugi22xml_a[...]
    82: 0000000000daaab0     8 FUNC    GLOBAL DEFAULT   10 EVP_MD_meth_get_copy
    83: 00000000006e373c    76 FUNC    GLOBAL DEFAULT   10 _ZN11UploadPopup[...]
    84: 0000000000d1ef80    20 FUNC    GLOBAL DEFAULT   10 _ZNSt13bad_excep[...]
    85: 0000000000cbfe30    28 FUNC    GLOBAL DEFAULT   10 deflateInit_
    86: 0000000000a53dd4    36 FUNC    GLOBAL DEFAULT   10 _ZN16SelectEvent[...]
