
Symbol table '.dynsym' contains 27657 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
     1: 00000000     0 FUNC    GLOBAL DEFAULT  UND __cxa_f[...]@LIBC (2)
     2: 00000000     0 FUNC    GLOBAL DEFAULT  UND __cxa_atexit@LIBC (2)
     3: 002bdac9     2 FUNC    WEAK   DEFAULT   12 _ZN7cocos2d15CCS[...]
     4: 008e318c     8 FUNC    GLOBAL DEFAULT   12 __aeabi_unwind_c[...]
     5: 002bdacd    16 FUNC    GLOBAL DEFAULT   12 JNI_OnLoad
     6: 005e3661    16 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d9JniH[...]
     7: 008e3194     8 FUNC    WEAK   DEFAULT   12 __aeabi_unwind_c[...]
     8: 002bdadd   188 FUNC    GLOBAL DEFAULT   12 Java_org_cocos2d[...]
     9: 005c29f9    72 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d10CCD[...]
    10: 005e1001    80 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d9CCEG[...]
    11: 00743e05    84 FUNC    GLOBAL DEFAULT   12 _Znwj
    12: 005e12f5    28 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d13CCA[...]
    13: 005e1351    16 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d13CCA[...]
    14: 005e1343    12 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d13CCA[...]
    15: 005e4b49    76 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d24ccG[...]
    16: 005e52a9    64 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d13CCS[...]
    17: 005e5329   248 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d13CCS[...]
    18: 005c3f21     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d10ccD[...]
    19: 005f59a9     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d14CCT[...]
    20: 005eab61    40 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d20CCN[...]
    21: 005eaee9   158 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d20CCN[...]
    22: 005c3219    46 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d10CCD[...]
    23: 00742e39     4 FUNC    GLOBAL DEFAULT   12 _ZdlPv
    24: 00742eed     0 FUNC    GLOBAL DEFAULT   12 __cxa_end_cleanup
    25: 00a43c28    76 OBJECT  GLOBAL DEFAULT   19 _ZTV11AppDelegate
    26: 005befd9     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d7CCPo[...]
    27: 005bf309     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCSi[...]
    28: 005bf49d    44 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCRe[...]
    29: 00a3ac10     8 OBJECT  WEAK   DEFAULT   19 _ZTIN7cocos2d15C[...]
    30: 00aaf8b0    44 OBJECT  GLOBAL DEFAULT   19 _ZTVN10__cxxabiv[...]
    31: 009397b8    28 OBJECT  WEAK   DEFAULT   15 _ZTSN7cocos2d15C[...]
    32: 00a3ac18    12 OBJECT  WEAK   DEFAULT   19 _ZTVN7cocos2d15C[...]
    33: 002bdb99     6 FUNC    WEAK   DEFAULT   12 _ZN7_JNIEnv14Del[...]
    34: 002bdba1    56 FUNC    WEAK   DEFAULT   12 _ZN7_JNIEnv22Cal[...]
    35: 00000000     0 FUNC    GLOBAL DEFAULT  UND __stack[...]@LIBC (2)
    36: 00000000     0 OBJECT  GLOBAL DEFAULT  UND __stack[...]@LIBC (2)
    37: 002bdbd9    56 FUNC    WEAK   DEFAULT   12 _ZN7_JNIEnv23Cal[...]
    38: 002bdc11    56 FUNC    WEAK   DEFAULT   12 _ZN7_JNIEnv21Cal[...]
